"site_no","station_nm","date","gage_ht","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd"
"06793000","Loup River near Genoa, Nebr.","2019-03-26 12:45:00",5.4,"ST","41.41861110","-97.72361110","S","NAD83"
"06794000","Beaver Creek at Genoa, Nebr.","2019-03-26 12:45:00",5.1,"ST","41.44140210","-97.73477450","S","NAD83"
"06794650","Clear Creek 1.75 mile W of Polk County line, Nebr.","2019-03-26 12:45:00",6.83,"ST","41.35194444","-97.40333330","S","NAD83"
"06795500","Shell Creek near Columbus, Nebr.","2019-03-26 12:30:00",3.5,"ST","41.52611110","-97.28166670","S","NAD83"
"06796000","Platte River at North Bend, Nebr.","2019-03-26 12:15:00",4.21,"ST","41.45277778","-96.77555560","S","NAD83"
"06796500","Platte River near Leshara, Nebr.","2019-03-26 12:00:00",5.97,"ST","41.32000000","-96.40388890","S","NAD83"
"06796550","Platte River near Venice, Nebr.","2019-03-26 12:15:00",12.83,"ST","41.19805528","-96.33974460","S","NAD83"
"06797500","Elkhorn River at Ewing, Nebr.","2019-03-26 12:45:00",5.75,"ST","42.26844444","-98.33936110","H","NAD83"
"06799000","Elkhorn River at Norfolk, Nebr.","2019-03-26 12:15:00",4.69,"ST","42.00377778","-97.42602780","H","NAD83"
"06799100","North Fork Elkhorn River near Pierce, Nebr.","2019-03-26 12:45:00",6.51,"ST","42.14850000","-97.47852780","H","NAD83"
"06799315","Elkhorn River at Pilger, Nebr.","2019-03-26 12:45:00",8.2,"ST","41.99527778","-97.05805560","S","NAD83"
"06799350","Elkhorn River at West Point, Nebr.","2019-03-26 12:15:00",5.3,"ST","41.83944410","-96.72753240","F","NAD83"
"06799350","Elkhorn River at West Point, Nebr.","2019-03-26 12:15:00",5.23,"ST","41.83944410","-96.72753240","F","NAD83"
"06799445","Logan Creek at Wakefield, Nebr.","2019-03-26 12:45:00",10.12,"ST","42.27694480","-96.86198620","F","NAD83"
"06799500","Logan Creek near Uehling, Nebr.","2019-03-26 12:15:00",5.7,"ST","41.71277778","-96.52194440","S","NAD83"
"06800000","Maple Creek near Nickerson, Nebr.","2019-03-26 12:45:00",3.04,"ST","41.56116667","-96.54083330","S","NAD83"
"06800500","Elkhorn River at Waterloo, Nebr.","2019-03-26 12:15:00",6.02,"ST","41.29333330","-96.28388890","S","NAD83"
"06801000","Platte River near Ashland, Nebr.","2019-03-26 12:15:00",17.36,"ST","41.06222220","-96.32472220","S","NAD83"
"06803000","Salt Creek at Roca, Nebr.","2019-03-26 12:25:00",3.35,"ST","40.65777778","-96.66555560","S","NAD83"
"06803080","Salt Creek at Pioneers Boulevard at Lincoln, Nebr.","2019-03-26 12:40:00",6.29,"ST","40.77027778","-96.71888890","S","NAD83"
"06803093","Haines Branch at SW 56th St at Lincoln, Nebr.","2019-03-26 12:35:00",3.85,"ST","40.76750260","-96.79696500","F","NAD83"
"06803170","Middle Creek at SW 63rd St at Lincoln, Nebr.","2019-03-26 12:15:00",2.53,"ST","40.81080556","-96.80608330","S","NAD83"
"06803300","Antelope Creek at 27th Street at Lincoln, Nebr.","2019-03-26 12:10:00",3.8,"ST","40.80494444","-96.68508330","1","NAD83"
"06803420","North Oak Creek near Touhy, Nebr.","2019-03-26 13:00:00",4.76,"ST","41.13325000","-96.87225000","1","NAD83"
"06803430","North Oak Creek at Valparaiso, Nebr.","2019-03-25 10:30:00",5.71,"ST","41.07491667","-96.83838890","1","NAD83"
"06803430","North Oak Creek at Valparaiso, Nebr.","2019-03-25 10:30:00",5.52,"ST","41.07491667","-96.83838890","1","NAD83"
"06803486","Oak Creek at Air Park Road at Lincoln, Nebr.","2019-03-26 12:40:00",2.85,"ST","40.85527778","-96.77944440","S","NAD83"
"06803495","Salt Creek at Fairgrounds at Lincoln, Nebr.","2019-03-26 12:35:00",10.72,"ST","40.83861110","-96.69138890","S","NAD83"
"06803500","Salt Creek at 27th Street at Lincoln, Nebr.","2019-03-26 12:25:00",3.67,"ST","40.84666667","-96.68166670","S","NAD83"
"06803502","Deadmans Run at 38th Street at Lincoln, Nebr.","2019-03-26 12:25:00",8.05,"ST","40.83536389","-96.66555830","S","NAD83"
"06803510","Little Salt Creek near Lincoln, Nebr.","2019-03-26 12:45:00",2.08,"ST","40.89305556","-96.68166670","S","NAD83"
"06803513","Salt Creek at 70th Street at Lincoln, Nebr.","2019-03-26 12:15:00",5.57,"ST","40.88611140","-96.62417950","M","NAD83"
"06803520","Stevens Creek near Lincoln, Nebr.","2019-03-26 12:30:00",1.17,"ST","40.85694448","-96.59529020","S","NAD83"
"06803530","Rock Creek near Ceresco, Nebr.","2019-03-26 12:45:00",5.62,"ST","41.01583330","-96.54416670","S","NAD83"
"06803555","Salt Creek at Greenwood, Nebr.","2019-03-26 12:15:00",4.41,"ST","40.96555556","-96.45444440","S","NAD83"
"06804000","Wahoo Creek at Ithaca, Nebr.","2019-03-26 12:15:00",6.84,"ST","41.14750000","-96.53777780","S","NAD83"
"06804700","Wahoo Creek at Ashland, Nebr.","2019-03-26 12:45:00",8.16,"ST","41.05361110","-96.36777780","S","NAD83"
"06805000","Salt Creek Near Ashland, Nebr.","2019-03-26 12:45:00",9.94,"ST","41.05166667","-96.33861110","S","NAD83"
"06805500","Platte River at Louisville, Nebr.","2019-03-26 12:15:00",5.24,"ST","41.01527778","-96.15777780","S","NAD83"
"06806500","Weeping Water Creek at Union, Nebr.","2019-03-26 12:15:00",8.07,"ST","40.79416667","-95.91138890","S","NAD83"
"06806500","Weeping Water Creek at Union, Nebr.","2019-03-26 12:15:00",7.9,"ST","40.79416667","-95.91138890","S","NAD83"
"06807000","Missouri River at Nebraska City, NE","2019-03-26 13:00:00",21.61,"ST","40.68194600","-95.84694600","F","NAD83"
"06811500","Little Nemaha River at Auburn, Nebr.","2019-03-26 12:15:00",5.91,"ST","40.39277778","-95.81277780","S","NAD83"
"06813500","Missouri River at Rulo, NE","2019-03-26 13:00:00",24.05,"ST","40.05363889","-95.42241670","1","NAD83"
"06814500","North Fork Big Nemaha River at Humboldt, Nebr.","2019-03-26 13:00:00",2.81,"ST","40.15694485","-95.94472060","S","NAD83"
"06815000","Big Nemaha River at Falls City, Nebr.","2019-03-26 12:45:00",5.48,"ST","40.03555770","-95.59609570","S","NAD83"
"06821500","Arikaree River at Haigler, Nebr.","2019-03-26 12:00:00",5.15,"ST","40.02916667","-101.96750000","S","NAD83"
"06823000","North Fork Republican River at Colorado-Nebraska","2019-03-26 11:30:00",1.44,"ST","40.06943516","-102.05129790","S","NAD83"
"06823000","North Fork Republican River at Colorado-Nebraska","2019-03-26 11:30:00",1.44,"ST","40.06943516","-102.05129790","S","NAD83"
"06823500","Buffalo Creek near Haigler, Nebr.","2019-03-26 11:45:00",1.4,"ST","40.03944444","-101.86666670","S","NAD83"
"06824000","Rock Creek at Parks, Nebr.","2019-03-26 11:45:00",1.16,"ST","40.04222220","-101.72805560","S","NAD83"
"06824500","Republican River at Benkelman, Nebr.","2019-03-26 11:30:00",3.78,"ST","40.03444444","-101.54277780","S","NAD83"
"06824500","Republican River at Benkelman, Nebr.","2019-03-26 11:30:00",3.78,"ST","40.03444444","-101.54277780","S","NAD83"
"06827500","South Fork Republican River near Benkelman, Nebr.","2019-03-26 11:30:00",1.75,"ST","40.01027778","-101.54194440","S","NAD83"
"06828500","Republican River at Stratton, Nebr.","2019-03-26 12:45:00",6.73,"ST","40.14055556","-101.22972220","S","NAD83"
"06828500","Republican River at Stratton, Nebr.","2019-03-26 12:45:00",6.73,"ST","40.14055556","-101.22972220","S","NAD83"
"06834000","Frenchman Creek at Palisade, Nebr.","2019-03-26 12:45:00",2.53,"ST","40.35166667","-101.12361110","S","NAD83"
"06835500","Frenchman Creek at Culbertson, Nebr.","2019-03-26 12:15:00",3.78,"ST","40.23472150","-100.87821390","S","NAD83"
"06836500","Driftwood Creek near McCook, Nebr.","2019-03-26 12:30:00",2.87,"ST","40.14583655","-100.67320830","S","NAD83"
"06837000","Republican River at McCook, Nebr.","2019-03-26 12:30:00",4.47,"ST","40.18777778","-100.61861110","S","NAD83"
"06838000","Red Willow Creek near Red Willow, Nebr.","2019-03-26 12:30:00",4.45,"ST","40.23472220","-100.50083330","S","NAD83"
"06843500","Republican River at Cambridge, Nebr.","2019-03-26 12:45:00",3.27,"ST","40.28444444","-100.14361110","S","NAD83"
"06844500","Republican River near Orleans, Nebr.","2019-03-26 12:30:00",3.06,"ST","40.13166667","-99.50250000","S","NAD83"
"06844500","Republican River near Orleans, Nebr.","2019-03-26 12:45:00",3.06,"ST","40.13166667","-99.50250000","S","NAD83"
"06847000","Beaver Creek near Beaver City, Nebr.","2019-03-26 12:30:00",3.28,"ST","40.12000680","-99.89345660","S","NAD83"
"06847500","Sappa Creek near Stamford, Nebr.","2019-03-26 12:00:00",8.03,"ST","40.11833330","-99.51694440","S","NAD83"
"06853020","Republican River at Guide Rock, Nebr.","2019-03-26 12:30:00",5.3,"ST","40.06416667","-98.33083330","S","NAD83"
"06880800","West Fork Big Blue River near Dorchester, Nebr.","2019-03-26 12:00:00",5.43,"ST","40.73111770","-97.17754130","F","NAD83"
"06881000","Big Blue River near Crete, Nebr.","2019-03-26 12:45:00",13.16,"ST","40.59666667","-96.96055560","S","NAD83"
"06881380","Turkey Creek near DeWitt, Nebr.","2019-03-26 12:45:00",13.36,"ST","40.36722220","-96.88944440","S","NAD83"
"06881380","Turkey Creek near DeWitt, Nebr.","2018-12-11 01:00:00",11.36,"ST","40.36722220","-96.88944440","S","NAD83"
"06882000","Big Blue River at Barneston, Nebr.","2019-03-26 13:00:00",7.38,"ST","40.04472220","-96.58722220","S","NAD83"
"06882000","Big Blue River at Barneston, Nebr.","2019-03-26 13:00:00",7.39,"ST","40.04472220","-96.58722220","S","NAD83"
"06883000","Little Blue River near Deweese, Nebr.","2019-03-26 12:15:00",3.73,"ST","40.33250000","-98.06694440","S","NAD83"
"06883000","Little Blue River near Deweese, Nebr.","2019-03-26 12:15:00",3.77,"ST","40.33250000","-98.06694440","S","NAD83"
"06883530","Little Blue River at County Line nr Deshler, Nebr.","2019-03-26 12:45:00",8.93,"ST","40.21502778","-97.82062220","1","NAD83"
"06883530","Little Blue River at County Line nr Deshler, Nebr.","2019-03-26 12:45:00",7.59,"ST","40.21502778","-97.82062220","1","NAD83"
"06884000","Little Blue River near Fairbury, Nebr.","2019-03-26 12:45:00",8.5,"ST","40.14647220","-97.20072220","1","NAD83"
